workflow,input_id,control_type,label,semantic_role,detailed_explanation,check_before_running,common_mistake,output_connection,reviewer_note
GJAM,gjam_do_sensitivity,checkboxInput,Run gjamSensitivity,workflow action / reproducibility output,"Run gjamSensitivity triggers checking, fitting, comparison or export. It should leave a clear status, diagnostics and real downloadable files rather than silent or empty placeholders.","Check that the action writes engine_status.json, standard tables, reports, scripts and a non-empty ZIP when applicable.","Common mistake: accepting Completed, empty ZIP or missing diagnostics as a successful run.","Controls workflow status, output folder creation, downloadable ZIPs and reports.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_do_traits,checkboxInput,Run trait analysis / gjamSpec2Trait,input data / species traits,Run trait analysis / gjamSpec2Trait supplies species-level attributes. Trait rows must match response species names exactly before trait-mediated effects are interpreted.,"Check dimensions, IDs, missing values, factor/numeric coercion and whether rows/columns match the response data before fitting.","Common mistake: uploading a table with an accidental ID column, mismatched row order or all-character numeric columns.",Copied to inputs/ and data/; summarized in diagnostics/data_check_messages.csv and standard/output_manifest.csv.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_download,downloadButton,Download GJAM ZIP,workflow action / reproducibility output,"Download GJAM ZIP triggers checking, fitting, comparison or export. It should leave a clear status, diagnostics and real downloadable files rather than silent or empty placeholders.","Check that the action writes engine_status.json, standard tables, reports, scripts and a non-empty ZIP when applicable.","Common mistake: accepting Completed, empty ZIP or missing diagnostics as a successful run.","Controls workflow status, output folder creation, downloadable ZIPs and reports.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_effort_file,fileInput,effort.csv  - optional sampling effort,input data / auxiliary file,effort.csv  - optional sampling effort is an auxiliary input for GJAM. It must use the same site/species identifiers as the primary response and predictor files.,"Check dimensions, IDs, missing values, factor/numeric coercion and whether rows/columns match the response data before fitting.","Common mistake: uploading a table with an accidental ID column, mismatched row order or all-character numeric columns.",Copied to inputs/ and data/; summarized in diagnostics/data_check_messages.csv and standard/output_manifest.csv.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_ematAlpha,synced_numeric_slider,ematAlpha,random effect / spatial / latent structure,"ematAlpha controls residual dependence, grouping, spatial covariance or latent factors. These parameters affect interpretation of associations and should not be treated as direct species interactions without caution.","Check grouping columns, coordinates, distance matrices, duplicated locations and whether the selected structure is identifiable for the data size.",Common mistake: interpreting residual association or latent factors as direct biological interaction.,"Recorded in used_config.yml and affects associations_long.csv, diagnostics, plots and model-specific random/spatial outputs.",Reviewer note: association parameters are engine-specific and should be labelled by scale and association_type.
GJAM,gjam_formula,textInput,formula,model formula / covariate design,formula controls which predictors enter the model. Every variable named in the formula must exist in the corresponding data table after cleaning and factor conversion.,"Check that every formula variable exists, has variation and is encoded as intended after categorical conversion.","Common mistake: using ~ . without noticing unsuitable ID, coordinate or leakage columns.","Recorded in used_config.yml and affects effects_long.csv, effects_species_environment.csv and model-specific coefficient tables.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_holdoutN,synced_numeric_slider,holdoutN,general workflow setting,holdoutN modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_holdout_file,fileInput,holdoutIndex.csv  - optional holdout rows,input data / auxiliary file,holdoutIndex.csv  - optional holdout rows is an auxiliary input for GJAM. It must use the same site/species identifiers as the primary response and predictor files.,"Check dimensions, IDs, missing values, factor/numeric coercion and whether rows/columns match the response data before fitting.","Common mistake: uploading a table with an accidental ID column, mismatched row order or all-character numeric columns.",Copied to inputs/ and data/; summarized in diagnostics/data_check_messages.csv and standard/output_manifest.csv.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_inverse_prediction,checkboxInput,Inverse prediction of X,diagnostics / prediction / output selection,"Inverse prediction of X decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_missingX,checkboxInput,Allow missing X prediction,diagnostics / prediction / output selection,"Allow missing X prediction decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_missingY,checkboxInput,Allow missing Y prediction,diagnostics / prediction / output selection,"Allow missing Y prediction decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_newdata_file,fileInput,newdata.csv  - optional prediction predictors,input data / environmental predictors,"newdata.csv  - optional prediction predictors supplies site-level covariates. Rows must align with the response data, numeric-looking columns should be numeric, and intended categorical predictors should be handled as factors.","Check dimensions, IDs, missing values, factor/numeric coercion and whether rows/columns match the response data before fitting.","Common mistake: uploading a table with an accidental ID column, mismatched row order or all-character numeric columns.",Copied to inputs/ and data/; summarized in diagnostics/data_check_messages.csv and standard/output_manifest.csv.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_ng,synced_numeric_slider,ng,general workflow setting,ng modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_notStandard,textInput,notStandard,general workflow setting,notStandard modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_out_chains,checkboxInput,Save MCMC chains,MCMC / optimization / prior control,"Save MCMC chains controls computation rather than the ecological data itself. Quick values are for smoke tests; real inference needs longer runs, convergence checks and documented priors.","Check chains, burn-in/transient, thinning, seed, parallel settings and diagnostics; quick-test values are not publication settings.",Common mistake: reporting quick-test MCMC output as if it were a converged publication analysis.,"Recorded in used_config.yml, reproducible_script/ and diagnostics/session_info.txt; affects model objects and convergence tables.",Reviewer note: state whether settings are quick-test or inferential and report convergence diagnostics.
GJAM,gjam_out_config,checkboxInput,Save GJAM used_config.yml,general workflow setting,Save GJAM used_config.yml modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_out_copy_inputs,checkboxInput,Copy GJAM input files to output folder,input data / auxiliary file,Copy GJAM input files to output folder is an auxiliary input for GJAM. It must use the same site/species identifiers as the primary response and predictor files.,"Check dimensions, IDs, missing values, factor/numeric coercion and whether rows/columns match the response data before fitting.","Common mistake: uploading a table with an accidental ID column, mismatched row order or all-character numeric columns.",Copied to inputs/ and data/; summarized in diagnostics/data_check_messages.csv and standard/output_manifest.csv.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_out_csv_tables,checkboxInput,Save CSV summary tables,input data / auxiliary file,Save CSV summary tables is an auxiliary input for GJAM. It must use the same site/species identifiers as the primary response and predictor files.,"Check dimensions, IDs, missing values, factor/numeric coercion and whether rows/columns match the response data before fitting.","Common mistake: uploading a table with an accidental ID column, mismatched row order or all-character numeric columns.",Copied to inputs/ and data/; summarized in diagnostics/data_check_messages.csv and standard/output_manifest.csv.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_out_fit,checkboxInput,Save fit diagnostics,diagnostics / prediction / output selection,"Save fit diagnostics decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_out_missing,checkboxInput,Save missing-data predictions,diagnostics / prediction / output selection,"Save missing-data predictions decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_out_model,checkboxInput,Save GJAM model object,general workflow setting,Save GJAM model object modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_out_parameters,checkboxInput,Save parameter tables,general workflow setting,Save parameter tables modifies GJAM workflow behaviour. Record it because GUI choices should be recoverable from used_config.yml and reproducible scripts.,Check that this setting is recorded in used_config.yml and that its meaning is documented in the report.,Common mistake: changing this setting without preserving it in the reproducible configuration.,Recorded in configuration and shown in reports when relevant.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_out_plots,checkboxInput,Save gjamPlot figures,diagnostics / prediction / output selection,"Save gjamPlot figures decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_out_prediction,checkboxInput,Save predictions,diagnostics / prediction / output selection,"Save predictions decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_out_report,checkboxInput,Generate GJAM HTML report,workflow action / reproducibility output,"Generate GJAM HTML report triggers checking, fitting, comparison or export. It should leave a clear status, diagnostics and real downloadable files rather than silent or empty placeholders.","Check that the action writes engine_status.json, standard tables, reports, scripts and a non-empty ZIP when applicable.","Common mistake: accepting Completed, empty ZIP or missing diagnostics as a successful run.","Controls workflow status, output folder creation, downloadable ZIPs and reports.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_out_zip,checkboxInput,Create GJAM output ZIP,workflow action / reproducibility output,"Create GJAM output ZIP triggers checking, fitting, comparison or export. It should leave a clear status, diagnostics and real downloadable files rather than silent or empty placeholders.","Check that the action writes engine_status.json, standard tables, reports, scripts and a non-empty ZIP when applicable.","Common mistake: accepting Completed, empty ZIP or missing diagnostics as a successful run.","Controls workflow status, output folder creation, downloadable ZIPs and reports.","GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_prior_file,fileInput,priorTemplate.csv / prior file,input data / auxiliary file,priorTemplate.csv / prior file is an auxiliary input for GJAM. It must use the same site/species identifiers as the primary response and predictor files.,"Check dimensions, IDs, missing values, factor/numeric coercion and whether rows/columns match the response data before fitting.","Common mistake: uploading a table with an accidental ID column, mismatched row order or all-character numeric columns.",Copied to inputs/ and data/; summarized in diagnostics/data_check_messages.csv and standard/output_manifest.csv.,"GJAM: record the setting when it affects fitting, output or interpretation."
GJAM,gjam_prior_mode,selectInput,prior mode,MCMC / optimization / prior control,"prior mode controls computation rather than the ecological data itself. Quick values are for smoke tests; real inference needs longer runs, convergence checks and documented priors.","Check chains, burn-in/transient, thinning, seed, parallel settings and diagnostics; quick-test values are not publication settings.",Common mistake: reporting quick-test MCMC output as if it were a converged publication analysis.,"Recorded in used_config.yml, reproducible_script/ and diagnostics/session_info.txt; affects model objects and convergence tables.",Reviewer note: state whether settings are quick-test or inferential and report convergence diagnostics.
GJAM,gjam_random,textInput,random,random effect / spatial / latent structure,"random controls residual dependence, grouping, spatial covariance or latent factors. These parameters affect interpretation of associations and should not be treated as direct species interactions without caution.","Check grouping columns, coordinates, distance matrices, duplicated locations and whether the selected structure is identifiable for the data size.",Common mistake: interpreting residual association or latent factors as direct biological interaction.,"Recorded in used_config.yml and affects associations_long.csv, diagnostics, plots and model-specific random/spatial outputs.",Reviewer note: association parameters are engine-specific and should be labelled by scale and association_type.
GJAM,gjam_real_fit,checkboxInput,Run real GJAM package fit,diagnostics / prediction / output selection,"Run real GJAM package fit decides which fit, prediction, diagnostic or plotting artifacts are written. These outputs support review only when status files and standard tables are also present.","Check that the requested outputs are compatible with fitted status, response scale and available package functions.",Common mistake: comparing metrics produced on different response scales or validation folds.,"Controls diagnostics/, plots/, predictions/, results/, report/ and standard/*.csv artifacts.","GJAM: record the setting when it affects fitting, output or interpretation."
